第1道题目: 1’237/259÷113/560=
第2道题目: (2’49/330÷14/359)+84/167*713/869=
第3道题目: (3’17/142÷617/619)-109/247*7’8/11=
第4道题目: 773/845*(279÷420/913)=
第5道题目: 41/167+1’305/521=
第6道题目: 2’66/97÷7/8=
第7道题目: 250/787+275/301÷1’163/172=
第8道题目: 2’127/401*7’45/91=
第9道题目: 3’93/149÷1’265/728=
第10道题目: 12/23-630/961*2’17/47=
第11道题目: 3’34/95+(706/903-19/34)÷72/179=
第12道题目: 456/499÷2’71/132=
第13道题目: (2’2/7*50/487)*4’47/190=
第14道题目: 2’163/374*408/941+10’67/79=
第15道题目: 5/126-(123/620+2’10/13)÷1’29/193=
第16道题目: 8’79/95+23’1/3*143/257÷2’293/322=
第17道题目: 3’65/79+29’9/29*203/404=
第18道题目: 44/81÷4’45/167-30’19/24=
第19道题目: 1’20/23*127/256-(1’190/769÷141/296)=
第20道题目: 3’59/243+4’47/155=
第21道题目: (1’108/583*159/236)+88/141-17’30/47=
第22道题目: 401/667÷331/862=
第23道题目: 2’84/139*1’93/452*2’69/137÷1’78/551=
第24道题目: 1’127/463*115/572÷395/464=
第25道题目: 24/53*10/93-(177/314*1’239/471)=
第26道题目: 3’138/241÷2’43/133=
第27道题目: 344/535+1’218/345=
第28道题目: 17’5/7-1’85/219=
第29道题目: 1’34/41+11’18/31=
第30道题目: 256/705*1’16/67=
第31道题目: 345/403*2’7/33=
第32道题目: 1’50/161+21/718÷47/163+1’37/173=
第33道题目: 151/568+17/937*103/896=
第34道题目: 1/20*10’41/53*117/187*1’253/287=
第35道题目: (1’269/462*3’74/219)*1’74/133+233/430=
第36道题目: 433/609-(419/834*854/895)=
第37道题目: 3’17/73-44/161+1’56/125*7’5/116=
第38道题目: 317/909*5’35/48=
第39道题目: 1’65/707+41/157+7’113/117+4’41/49=
第40道题目: 249/736+94/295*362/743+1’99/512=
第41道题目: (2’57/178-59/71)-1’77/629-77/766=
第42道题目: 1’113/878÷29’3/31*(1’155/302+141/194)=
第43道题目: (484/567*1’57/193)+705/806=
第44道题目: 76/301+314/495=
第45道题目: 19’11/27÷59/105=
第46道题目: 12’34/69*(1’106/331÷1/911)=
第47道题目: 51’3/5-19/30=
第48道题目: (1’89/394*3/17)÷2’111/169=
第49道题目: 4’15/17-1’9/64*9/907=
第50道题目: (3’30/67-3’34/287)÷1’55/193=
第51道题目: 2’134/363+3’15/62=
第52道题目: 1’23/361*128/441=
第53道题目: 927/976÷2’21/88=
第54道题目: 1’7/97÷(1’311/332÷515/846)÷1’97/525=
第55道题目: 159/563÷27’1/4+3’31/146+2’206/343=
第56道题目: 1’167/356÷5’79/183=
第57道题目: 176/513-(5’40/149+5’3/44)÷337/736=
第58道题目: (3’94/133+349/951)+15’3/8=
第59道题目: 3’137/215+(207/467÷29’9/13)+583/883=
第60道题目: (99/398+1’143/662)+267/461=
第61道题目: 195/209+2’82/317*57/668=
第62道题目: 1’19/52*99/238÷12’52/75=
第63道题目: 268/791*5’51/112=
第64道题目: 421/892*1’32/707+1’40/423=
第65道题目: 480/797+23/467=
第66道题目: 487/839-3’226/251*500/859=
第67道题目: 47/428+1’195/271=
第68道题目: 1’317/646+77/300=
第69道题目: 97/276÷114/115*184/455=
第70道题目: 61/187*720/857÷5’32/59÷4’125/188=
第71道题目: 3’61/171*43/595=
第72道题目: 50/53*1’326/385÷2’40/149+70/327=
第73道题目: 2’62/165÷505/803-1’114/115=
第74道题目: 4’61/87÷280/781=
第75道题目: (3’211/213*245/964)÷1’41/46=
第76道题目: 3*1’129/739+(143/636÷236/307)=
第77道题目: 5’65/94-(23/162÷95/106)+42/61=
第78道题目: 1’47/224+527/1000+8/655=
第79道题目: 2’11/136+1’44/61*321/778=
第80道题目: 472/575+2’233/343÷858/881=
第81道题目: (278/817÷9/19)*1’328/631=
第82道题目: 1’51/227*416/627=
