第1道答案: 9’2051/4181
第2道答案: 2’98765791/670468260
第3道答案: 66696121/238047238
第4道答案: 554’96457/118300
第5道答案: 1’72296/87007
第6道答案: 3’43/679
第7道答案: 290390/369103
第8道答案: 17’13231/36491
第9道答案: 2’32402/49319
第10道答案: 1’27545/1038841
第11道答案: 3’191591731/21000168
第12道答案: 60192/167165
第13道答案: 64560/64771
第14道答案: 11’739416/817729
第15道答案: 2’20301167/37575720
第16道答案: 13’20124808/68630565
第17道答案: 18’8785/15958
第18道答案: 30’306985/462024
第19道答案: 1’440830511/638429952
第20道答案: 7’20566/37665
第21道答案: 2’76864661/911795676
第22道答案: 1’124885/220777
第23道答案: 1’124583373/559554974
第24道答案: 1574120/5230511
第25道答案: 32440715/40498307
第26道答案: 1’13348/24823
第27道答案: 2’10147/36915
第28道答案: 16’500/1533
第29道答案: 13’521/1271
第30道答案: 21248/47235
第31道答案: 1’3962/4433
第32道答案: 1’886916641/939927338
第33道答案: 15970865/59608192
第34道答案: 1803789/2844457
第35道答案: 210182475/372850631
第36道答案: 5849342/25254215
第37道答案: 12’1515783/34083700
第38道答案: 1’43543/43632
第39道答案: 418104014/636357267
第40道答案: 1’9400183/10328576
第41道答案: 135128766/149516503
第42道答案: 32892907/105690266
第43道答案: 1’86473469/88201386
第44道答案: 132134/148995
第45道答案: 34’286/531
第46道答案: 15025’533/993
第47道答案: 50’29/30
第48道答案: 244881/3007402
第49道答案: 4’859551/986816
第50道答案: 305519/1192198
第51道答案: 5’13753/22506
第52道答案: 16384/53067
第53道答案: 10197/24034
第54道答案: 186393352/384842429
第55道答案: 715852757/1221830670
第56道答案: 95709/353864
第57道答案: 143000648/283351959
第58道答案: 19’454073/1011864
第59道答案: 11’10676345/45966326
第60道答案: 2’1334007/30365609
第61道答案: 1’1391281/11064251
第62道答案: 527175/11781952
第63道答案: 1’18789/22148
第64道答案: 1’156829097/266762412
第65道答案: 242491/372199
第66道答案: 1’124792966/180895951
第67道答案: 1’96197/115988
第68道答案: 1’72421/96900
第69道答案: 2231/15561
第70道答案: 97432128/257144899
第71道答案: 3526/14535
第72道答案: 1’20199040/1019842133
第73道答案: 1’137008/174225
第74道答案: 13’2749/24360
第75道答案: 2394875/4465971
第76道答案: 3’90529991/110920944
第77道答案: 6’9777659/44123130
第78道答案: 1’2747461/3668000
第79道答案: 2’2552959/3227144
第80道答案: 3’96792043/169219050
第81道答案: 1’22405/244197
第82道答案: 115648/142329
第83道答案: 2’53989/69913
第84道答案: 5’10786027/25788045
第85道答案: 46301/174754
第86道答案: 11’4199/5921
第87道答案: 1’1698927/5334056
第88道答案: 2’454/5751
第89道答案: 22458/9733255
第90道答案: 2’12549487/53122328
第91道答案: 30’971/1730
第92道答案: 238/853
第93道答案: 2313486/4483475
第94道答案: 7293/51023
第95道答案: 8’1323/4792
第96道答案: 89398805/195812704
第97道答案: 177088297/263711168
第98道答案: 1’1781/46482
