第1道答案: 2878956/10223345
第2道答案: 214089/412960
第3道答案: 297/1258
第4道答案: 183416/1819155
第5道答案: 10323/36505
第6道答案: 3’2259813/8802362
第7道答案: 3’480913/3265509
第8道答案: 84476/101515
第9道答案: 2’1502/4485
第10道答案: 1’56467/181944
第11道答案: 27805/348432
第12道答案: 1’133927725/1668213173
第13道答案: 41540/306471
第14道答案: 8’18414199/25643160
第15道答案: 2108648/9155379
第16道答案: 1’6713629/15751296
第17道答案: 2’876378/1055545
第18道答案: 1’16742131/78319469
第19道答案: 61541/1727880
第20道答案: 6’2413/2666
第21道答案: 123084019/517203476
第22道答案: 6611/41720
第23道答案: 4’1252524/7243135
第24道答案: 1’51886/101565
第25道答案: 3’46774/150173
第26道答案: 39/47
第27道答案: 212’4/11
第28道答案: 158600/5279693
第29道答案: 123166/222827
第30道答案: 52357/64629
第31道答案: 10952681/15382080
第32道答案: 1’22220/112623
第33道答案: 2’46511/66930
第34道答案: 1’5075/56296
第35道答案: 24078923/54299700
第36道答案: 14’14477/885600
第37道答案: 5776373/36866974
第38道答案: 4223843/50191416
第39道答案: 1’10169/60382
第40道答案: 1’117011970/369489247
第41道答案: 5’466333/790740
第42道答案: 19992/493337
第43道答案: 2’1289356/2548929
第44道答案: 392535497/448620649
第45道答案: 39678896/158684061
第46道答案: 3483/14873
第47道答案: 7’7226/15057
第48道答案: 44309987/69516960
第49道答案: 21173/805683
第50道答案: 67584/802337
第51道答案: 5735699/33650295
第52道答案: 42’992379/1576040
第53道答案: 14’2590/3267
第54道答案: 3997912/7662643
第55道答案: 1’3374205/8902913
第56道答案: 16’19479595/36900489
第57道答案: 2’677485/839511
第58道答案: 5’678/6355
第59道答案: 2359984/4290975
第60道答案: 1901985/46950722
第61道答案: 1’1329553/17750043
第62道答案: 10’1792172/2163975
第63道答案: 1’8933/26312
第64道答案: 793/905
第65道答案: 163829/258441
第66道答案: 545/1152
第67道答案: 5’531537/868091
第68道答案: 37’423/475
第69道答案: 2’6709/26334
第70道答案: 1’1874971/26705416
第71道答案: 3’5268/16169
第72道答案: 1’9880579/12219565
第73道答案: 1295561/2417680
第74道答案: 5’14913/18779
第75道答案: 31840/40141
第76道答案: 5’507700/2221011
第77道答案: 1’11281/108069
第78道答案: 3’629/2277
第79道答案: 57775/64449
第80道答案: 6’4045/4104
第81道答案: 15’10672381/125030484
第82道答案: 1’382393/522480
第83道答案: 507111085/1115444026
第84道答案: 1’23327/48025
第85道答案: 6237/22648
第86道答案: 3’5392/24887
第87道答案: 56’225/4466
第88道答案: 1’31307/451264
第89道答案: 6’22010/35581
第90道答案: 2’180656257/373190716
第91道答案: 2’65346533/132296840
第92道答案: 1’21568641/39617480
第93道答案: 101144537/387009016
第94道答案: 389189227/1604005877
第95道答案: 1’8332/36079
第96道答案: 15863/71095
第97道答案: 78’1283/2344
第98道答案: 2’87668459/153304286
第99道答案: 495380/1532037
第100道答案: 11’587169/3664381
第101道答案: 2’25853215/179021996
第102道答案: 254799974/263041725
第103道答案: 19’165094/1716907
第104道答案: 2828/40749
第105道答案: 1’103389/222308
第106道答案: 48006144/54022331
第107道答案: 333/8683
第108道答案: 5’8875622/39987639
第109道答案: 2’155/1898
第110道答案: 492020480/609986773
第111道答案: 4655/96111
第112道答案: 10’254775/541952
第113道答案: 603/2506
第114道答案: 18139/149093
第115道答案: 1’4982/41239
第116道答案: 158580000/1210458293
第117道答案: 1’1434261/136490012
第118道答案: 237048/379585
第119道答案: 16121547/91410235
第120道答案: 240736651/1428579242
第121道答案: 205898707/568937375
第122道答案: 2081929/4508077
第123道答案: 473821825/1994241882
第124道答案: 1’59639/199025
第125道答案: 109743/277855
第126道答案: 1’47/1683
第127道答案: 2’9031/175686
第128道答案: 40’81/335
第129道答案: 320916/341101
第130道答案: 11’8178/22057
第131道答案: 3’264370051/290359394
第132道答案: 40’2599/3228
第133道答案: 20705/255234
第134道答案: 66920281/141845220
第135道答案: 1631225279/2023024396
第136道答案: 110935335/785739616
第137道答案: 3’3151627/3485144
第138道答案: 293037/1017160
第139道答案: 7406/225387
第140道答案: 1’3532445/226628361
第141道答案: 2’87044/372267
第142道答案: 2’23315629/102207672
第143道答案: 46082209/76982052
第144道答案: 14930/86173
第145道答案: 4’225527409/265336588
第146道答案: 14122438/79183207
第147道答案: 14177/19412
第148道答案: 2’123884/142443
第149道答案: 1’47368175/206525034
第150道答案: 11/1313
第151道答案: 6’214945/534106
第152道答案: 1193093768/1855022237
第153道答案: 374697/1030780
第154道答案: 2’115208402/196455975
第155道答案: 1’33633165/34656052
第156道答案: 11277809/72246180
第157道答案: 513101/2051315
第158道答案: 2’2413/3738
第159道答案: 37668/501491
第160道答案: 1’169/1166
第161道答案: 9/11792
第162道答案: 1196/1253
第163道答案: 6’7875251/16209882
第164道答案: 55388903/360038650
第165道答案: 15488/176111
第166道答案: 10720047/201020743
第167道答案: 262434/418501
第168道答案: 7’370153/490688
第169道答案: 9’7043/27625
第170道答案: 1’1422097/11463816
第171道答案: 2’78583/381465
第172道答案: 1’54551/180072
第173道答案: 82/833
第174道答案: 104719/118560
第175道答案: 1’600410/1465477
第176道答案: 1’102598597/159313680
第177道答案: 3’2251/3870
第178道答案: 393’104233/2717372
第179道答案: 29’3057821/14139735
第180道答案: 199644048/1673770115
第181道答案: 11’5352/5705
第182道答案: 55809/153314
第183道答案: 2’19307/22599
第184道答案: 55141/219867
第185道答案: 6’4293/8015
第186道答案: 18’2295253/17250265
第187道答案: 689174592/901343369
