第1道题目: 1’95/343-2’27/155=
第2道题目: 41/387*704/739=
第3道题目: 556/811+81/104=
第4道题目: 5’17/137+1’15/44+11/29+1’119/414=
第5道题目: (1’177/721÷2’19/44)÷1’32/349=
第6道题目: (364/927-1’21/137)÷117/497=
第7道题目: 229/300*415/833=
第8道题目: 554/983÷445/648=
第9道题目: 719/737+85/347=
第10道题目: 258/353*1’77/186*6’49/116=
第11道题目: (1’335/533*684/731)*90/103=
第12道题目: 1’38/61-369/496*2’23/55+3’153/220=
第13道题目: 269/395÷107/568+1’9/515+1’27/61=
第14道题目: 1’84/431*(1’459/509+58)-5’2/51=
第15道题目: 10/37+3’197/229-(2’8/71÷273/790)=
第16道题目: 1’37/62+566/775=
第17道题目: 3’23/76÷(1’22/47*427/458)=
第18道题目: 729/970*649/750÷(1’47/261+269/728)=
第19道题目: 2’12/25*392/471*(252/493÷33/122)=
第20道题目: 287/391*(756/811+233/608)+7’101/102=
第21道题目: 1’18/199+503/969=
第22道题目: 368/485÷3/251=
第23道题目: 1’23/331÷50’4/11=
第24道题目: (1’263/370-1’6/253)-59/147÷61/70=
第25道题目: 229/542*60/223=
第26道题目: 1’35/666÷1’60/239=
第27道题目: 405/461÷475/568=
第28道题目: 1’9/19-13/20*1’18/443+136/331=
第29道题目: 1’67/275*(1’2/7*1’145/422)=
第30道题目: 1’65/129*1’34/197=
第31道题目: 1’208/379+6’21/134÷5/478-1’8/131=
第32道题目: 1’82/773*5’148/161*315/533÷1’181/221=
第33道题目: 3’107/239+61/347+11’4/7-83/598=
第34道题目: 31/52*101/908÷374/669=
第35道题目: 2’11/13*3’4/21÷(5/6*2’38/103)=
第36道题目: 29/205+30/223=
第37道题目: 142/437÷51/785=
第38道题目: 3’99/124*6’55/117=
第39道题目: 5/107+569/576=
第40道题目: 513/550+(298/625+2’8/9)=
第41道题目: 2’151/326-1’167/265*83/758=
第42道题目: 3’4/129÷277/308*483/761=
第43道题目: 3’13/144+77/87÷1’369/379*1’9/377=
第44道题目: 1’20/667÷1’298/511=
第45道题目: (18/895+1’416/479)-809/966*2’52/155=
第46道题目: 341/362-2’56/135-258/331=
第47道题目: 1’233/541+1’195/599+(1/888÷7/18)=
第48道题目: 1’126/313÷8’52/87*2’166/259=
第49道题目: 1’9/47÷355/404*10’33/68=
第50道题目: 2’21/88÷(1’35/262*7’5/52)*1’1/103=
第51道题目: 760/841+4’66/223=
第52道题目: 134/639*1’263/348÷394/519*157/411=
第53道题目: 1’155/254÷116/553=
第54道题目: 305/341+1’394/597*1’148/343*1’308/557=
第55道题目: 4’4/23*109/325*5’43/55=
第56道题目: 310/467÷1’395/563÷(1’227/514+4’67/98)=
第57道题目: 2’92/415-6’14/29÷1’31/486*2’127/175=
第58道题目: 1’216/443÷1’67/145=
第59道题目: 1’359/542-2/5÷1’306/487÷1’75/196=
第60道题目: 181/690+896/993+(102/449*19/395)=
第61道题目: 2’17/129+277/883=
第62道题目: 130/251+89/977-821/941*200/229=
第63道题目: (1’272/295*76/469)*46/401*1’152/345=
第64道题目: 236/411*8’26/57=
第65道题目: 653/836*69/89=
第66道题目: 151/187+115/719=
第67道题目: 89/95÷1’238/277*39/115=
第68道题目: 1’9/32-(1’265/523-99/185)=
第69道题目: 798/853*2’105/166+4’162/191*373/793=
第70道题目: 1’35/46÷15/133÷12’33/62+1’169/490=
第71道题目: (1’341/629+23/421)+22/97÷1’322/337=
第72道题目: 751/786+(827/834+241/486)=
第73道题目: 1’17/103*193/411*1’8/43=
第74道题目: 6’68/139+1’117/878*532/915=
第75道题目: 153/271+(72/77*3’71/234)÷5’115/146=
第76道题目: 39’5/6÷107/167-460/853=
第77道题目: 207/256+1’2/359+11/16+409/811=
第78道题目: 123/148+(271/562+224/869)=
第79道题目: 1’152/793*1’25/52*211/345+27’3/28=
第80道题目: 223/306*3’83/295=
第81道题目: 2’163/369*371/375=
第82道题目: (1’17/82-1’15/179)*51/230=
第83道题目: (1’127/296÷461/935)+1’16/247*3’34/99=
第84道题目: 4’128/159÷1’85/789÷424/945÷7’8/9=
第85道题目: 500/869*293/390+1’158/385=
第86道题目: 11/153÷1’6/59-49/120+2’22/57=
第87道题目: 4’183/194÷1’270/491÷815/899=
第88道题目: 519/577-2’39/401=
第89道题目: 1’80/99+1’209/486=
第90道题目: 1’233/470+1’136/267=
第91道题目: 317/412*(1’254/707+28/113)+769/992=
第92道题目: 352/687÷1’16/61=
第93道题目: 4’31/52-2’13/75=
第94道题目: 47/770-(214/361*402/713)=
第95道题目: 2’63/187+415*11’7/23=
第96道题目: 370/397÷98/209÷1’183/589=
第97道题目: 1’79/98÷107/427=
第98道题目: 1’3/200÷5’25/137=
第99道题目: 331/533÷1’355/447÷109/210=
第100道题目: 132/491÷114/137-44/101*266/599=
第101道题目: 2’41/83+206/667-3’1/2=
第102道题目: 277/785*(59/274÷173/232)=
第103道题目: 344/353*148/735=
第104道题目: 1’118/183+47/175=
第105道题目: 1’169/176+1’87/505=
第106道题目: 1’21/248+183/514=
第107道题目: 425/514÷191/383+3’203/209=
第108道题目: 537/725+1’409/566=
第109道题目: 5/29-523/967*(2’27/143+1’103/182)=
第110道题目: 383/983÷(1’73/147+27/65)-5’11/51=
第111道题目: 2’45/146+4’41/46-1’133/538=
第112道题目: (6’25/59-823/979)*194/419+1’11/216=
第113道题目: 7’13/16+(39/44÷1’185/586)=
第114道题目: 367/451*1’59/178=
第115道题目: 1’31/724÷17’17/37÷(65/144+1’121/169)=
第116道题目: 7/178÷31/228-(638/779-817/859)=
第117道题目: 3/44*6’137/142-5/17+603/850=
第118道题目: 4÷2’191/318=
第119道题目: 403/710*91/232=
第120道题目: 412/895÷(375/466+1’55/71)+365/786=
第121道题目: 316/333-727/774-116/515-292/639=
第122道题目: (3’129/281*1’71/249)+1’37/70=
第123道题目: 507/841*1’21/521=
第124道题目: 364/941*34/139=
第125道题目: 13/100+1’107/287÷324/757=
第126道题目: 1’174/385+2’197/360=
第127道题目: 313*534/583*(98/125+335/859)=
第128道题目: 3’4/7+2’71/428=
第129道题目: 7’33/80÷1’139/255=
第130道题目: 355/796+2/3*485/554=
第131道题目: 16’1/2*2’2/47=
第132道题目: 2’83/87÷1’91/149=
第133道题目: (1’123/548*280/419)+4’53/190=
第134道题目: 1’71/202-217/722÷1’108/217=
第135道题目: 1’378/409+272/317=
第136道题目: 1’5/16*315/568=
第137道题目: 67/147+79/928+1’193/570=
第138道题目: (233/680÷385/472)*166/735÷136/455=
第139道题目: 13/337*1’37/197=
第140道题目: 1’145/716*85/789÷1’58/63=
第141道题目: (22/197*8/521)+227/264+1’244/719=
第142道题目: 298/721*44’1/2-42’1/8+514/661=
第143道题目: (628/981+7’2/5)÷363/448*1’163/242=
第144道题目: 1’101/134*563/727-14’26/63=
第145道题目: 1’125/233*1’277/713*1’77/117=
第146道题目: 3’9/11*513/802÷3’39/50=
第147道题目: 2’12/13+856/955=
第148道题目: 1’32/217-697/908=
第149道题目: 1’13/38*4’86/101=
第150道题目: 9’3/86-(1’72/151÷191/455)=
第151道题目: 89/95-1’247/394÷733/1000=
第152道题目: 472/745+74/167=
第153道题目: 256/649-1’251/300+1’163/294=
第154道题目: 2’124/273+92/227÷4’53/227=
第155道题目: 1’97/98*79/472+1’296/685=
第156道题目: 1’20/79+1’37/446-3’108/145=
第157道题目: 5/66+1’89/112=
第158道题目: 49/160*1’45/359=
第159道题目: 1’167/357÷2’236/357*166/857=
第160道题目: 96/203+5’18/55÷1’324/535=
第161道题目: 1’55/433*843/917=
第162道题目: 2’31/60*3/59÷433/469=
第163道题目: 14’17/27+(376/527÷87/424)+1’95/301=
第164道题目: 1’67/328*153/491=
第165道题目: 7/51÷517/531=
第166道题目: 2’68/83÷23/603=
第167道题目: 170/191+1’25/43-(263/550+1’55/272)=
第168道题目: 28/121÷1’414/571=
第169道题目: 1’8/369÷15’25/63÷6/139=
第170道题目: 39’2/9*167/240=
第171道题目: 1’165/553+1’55/406=
第172道题目: (22’6/11+71/176)-1’141/292+7’63/94=
第173道题目: 1’245/538-1’229/339=
第174道题目: (41/120*1’202/343)-3’6/131÷491/653=
第175道题目: 1’68/773*155/822÷2’10/321=
第176道题目: 15’7/9÷1’276/491+28/145=
第177道题目: (12’26/61÷1’271/298)*11/13*1’133/286=
第178道题目: 391/577+1’49/209-129/359=
第179道题目: 57/58-1’393/575*(1’102/355+245/599)=
第180道题目: 1’356/375*(403/609*49/888)=
第181道题目: 1’5/119*415/477=
第182道题目: 94/659*(305/368*8/61)+1’171/773=
第183道题目: 532/991+201/889+3’173/180-2’23/450=
第184道题目: 2’2/33÷1’178/461÷1’131/675=
第185道题目: 1/22-(52/201÷347/412)*133/188=
第186道题目: 424/459+1’40/189÷121/317+7’8/41=
第187道题目: 30/839÷3’82/137=
第188道题目: 2’104/419*321/563+5/28*2’231/260=
第189道题目: 5’100/139*53’7/16=
第190道题目: 728/851-(199/247*3’4/19)÷5’71/129=
第191道题目: 731/744*(2’8/61+251/562)÷635/754=
第192道题目: 361/638÷726/799*1’2/29=
第193道题目: 1’13/29÷511/744+1’79/823=
第194道题目: 4/307+51/311=
第195道题目: (31/39-8/101)+4’9/89=
第196道题目: 281/344*302/345÷(3’9/130÷149/198)=
第197道题目: 45/506+351/400=
第198道题目: 10’19/28*(1’35/222*2’170/287)=
第199道题目: 1’353/354÷406/789=
第200道题目: 187*38/941=
第201道题目: 1’37/231-3’50/141=
第202道题目: 1’77/831+36/313=
第203道题目: (83/761+81’1/9)÷1’37/644+1’56/193=
第204道题目: (4’107/201÷18/181)*1’53/815=
第205道题目: 5/191*4’91/134+1’43/151-632/795=
第206道题目: 2’199/225-1’3/188*254/307+5’22/27=
第207道题目: 5/38-1’257/389÷787/924=
第208道题目: 258/373+1’79/393=
第209道题目: 2’42/167+1’49/409*1’47/361=
第210道题目: 359/772+784/879=
第211道题目: 599/815+3’29/33=
第212道题目: 349/396+(115/617÷11/54)÷119/309=
第213道题目: 1’23/64÷745/989=
第214道题目: 78/539+(1’167/645+1’1/17)*1’39/863=
第215道题目: 221/389+1’43/381*184/981÷1’253/303=
第216道题目: 15’17/25÷431/903*11’13/71=
第217道题目: 2’220/379÷1’245/447÷557/625=
第218道题目: (2’1/16-1’156/421)*421/722÷87/485=
第219道题目: 1’21/536-1’53/180=
第220道题目: 4’34/49÷5’47/73+1’171/328=
第221道题目: 86/933+2’119/257=
第222道题目: 6’57/70÷79/263+353/437=
第223道题目: 1÷67/343-1’69/259=
第224道题目: 5’31/96*149/508=
第225道题目: 4’52/81+(475/839÷1’92/257)÷2’43/56=
第226道题目: 695/793+3’6/59*1’119/277=
第227道题目: 804/913*4’59/147=
第228道题目: 1’8/185+67/814=
第229道题目: 201/359+(2’19/53÷3’4/235)+5/442=
第230道题目: 2’4/167-(3’4/15÷127/649)=
第231道题目: 113/689+(81/125-9/46)=
第232道题目: 119/290÷94/431=
第233道题目: 4’120/121÷112/731+1’51/769=
第234道题目: 1’158/257-261/845=
第235道题目: 5’51/160-659/715+2’46/71=
第236道题目: 510/943+(4’86/155÷53/646)*1’64/79=
第237道题目: 5’28/83÷4’3/118-4’93/215+2’1/47=
第238道题目: 5/28*3’61/134=
第239道题目: 89/234+1’148/243=
第240道题目: 55/478+1’265/418+2’28/53=
第241道题目: 3’32/105*73/934*1’87/247=
第242道题目: 504/929÷5’33/38=
第243道题目: 1’3/70*271/695=
第244道题目: 1/5*(117/200÷1’23/79)=
第245道题目: 665/967-71/129-14’31/36=
第246道题目: 696/749+674/805=
第247道题目: 187/313÷1’32/133*1’251/421÷10’60/89=
第248道题目: 52/959-(1’299/602÷17/495)=
第249道题目: 2’7/228÷7’44/87=
第250道题目: 17/739-3’62/149=
第251道题目: 19’26/29+(1’289/665÷7’48/55)=
第252道题目: 34/147+692/873=
第253道题目: 1’223/394+127/478-2’313/340=
第254道题目: 1’83/111+1’30/163=
第255道题目: 352÷1’3/89=
第256道题目: 1’122/353-16’31/47+1’11/845*30’6/25=
第257道题目: (2’27/41-1’91/666)*165/167+1’91/878=
第258道题目: 4/7*2’51/437+2’7/27=
第259道题目: (1’346/611+79/399)*485/972÷1’55/632=
第260道题目: 431/931÷1’116/779=
第261道题目: 94/287*3’52/79=
第262道题目: 2’86/265÷3’103/277÷(71/365+637/664)=
第263道题目: 212/305÷40/177÷1’29/102=
第264道题目: 118/515*3=
第265道题目: 295/597÷41/821+1’90/901+3’17/75=
第266道题目: 95/372+853/942÷59/198*197/607=
第267道题目: 20/189-1’212/771÷5’6/23+47/50=
第268道题目: (2’111/181+3’7/319)*97/147=
第269道题目: 1’70/423÷26’2/27*40/149=
第270道题目: 1’145/187-5’48/85*304/447*77’2/9=
第271道题目: 865/923*(2’5/12*203/467)=
第272道题目: 2/3*1’106/593*1’257/327=
第273道题目: 457/700+1’223/759=
第274道题目: 2’21/50÷278/391+6’46/87=
第275道题目: 622/717-(128/219+361/498)÷1’158/305=
第276道题目: 5’29/113+58/85=
第277道题目: 1’5/8÷4’70/193=
第278道题目: 2’139/289+670/963=
第279道题目: 19’5/6÷3’32/45÷498/887=
第280道题目: 8*843/988=
第281道题目: (743/749*2’34/387)+8’83/91=
第282道题目: 482/923÷118/241=
第283道题目: 51/554*47/66=
第284道题目: 3’61/214+1’139/260=
第285道题目: 579/763+(305/336÷1’4/23)*2’33/323=
第286道题目: 1’11/46+1’133/289=
第287道题目: (349/522*28/113)*195/322+1’193/200=
第288道题目: 4’64/191*357/593=
第289道题目: 18’13/17+211/879+13’14/19=
第290道题目: 4’25/102*2’275/277=
第291道题目: (1’52/719÷19/22)+126/769=
第292道题目: 337/996+362/421-1’212/281=
第293道题目: 3’196/207÷256/473=
第294道题目: (109/329*1’135/697)+27/41=
第295道题目: 1’242/609+1’215/324=
第296道题目: 534/553÷(1’353/608*613/658)=
第297道题目: (625/647+127/608)÷1’129/706=
第298道题目: 3’193/200+389/425=
第299道题目: 2’10/119÷12/65=
第300道题目: 230/303÷9’1/46=
第301道题目: 27’2/33+3’185/209=
第302道题目: 1’23/327*1’490/491=
第303道题目: 2’23/70*499/999=
第304道题目: 65/333-242/355=
第305道题目: 227/325+177/806+1’176/493÷405/536=
第306道题目: 520/989*1’19/20÷769/992=
第307道题目: 116/815-5’13/50=
第308道题目: 1/5*5’28/127+44/409÷231/380=
第309道题目: 1’11/36÷4’11/19+1’181/580=
第310道题目: (1’11/145*463/676)+1’93/695=
第311道题目: 23/239÷2’78/407+125/262=
第312道题目: 928/951*435/658=
第313道题目: 519/668+169/386÷1’45/688=
第314道题目: 3/4*798/857*1’22/725-1’1/165=
第315道题目: 499/755+20/259=
第316道题目: 114/377+5’135/152=
第317道题目: 1’59/344÷1’227/719=
第318道题目: 349/575-130/431=
第319道题目: 1’95/667-1’163/329=
第320道题目: 511/986÷429/716=
